Date,Cases
16 March 2019,1
17 March 2019,1
18 March 2019,2
19 March 2019,3
20 March 2019,3
21 March 2019,6
22 March 2019,7
23 March 2019,9
24 March 2019,15
25 March 2019,23
26 March 2019,29
27 March 2019,38
28 March 2019,42
29 March 2019,50
30 March 2019,67
31 March 2019,124
01 April 2019,234
02 April 2019,309
03 April 2019,411
04 April 2019,485
05 April 2019,571
06 April 2019,621
07 April 2019,690
08 April 2019,738
09 April 2019,834
10 April 2019,911
11 April 2019,968
12 April 2019,1075
13 April 2019,1173
14 April 2019,1204
15 April 2019,1242
16 April 2019,1267
17 April 2019,1323
18 April 2019,1372
19 April 2019,1477
20 April 2019,1520
21 April 2019,1596
22 April 2019,1629
23 April 2019,1683
24 April 2019,1755
25 April 2019,1821
26 April 2019,1885
27 April 2019,1937
28 April 2019,2058
29 April 2019,2162
30 April 2019,2323
01 May 2019,2526
02 May 2019,2757
03 May 2019,3023
04 May 2019,3550
05 May 2019,4058
06 May 2019,4829
07 May 2019,5409
08 May 2019,6009
09 May 2019,6535
10 May 2019,7204
11 May 2019,8002
12 May 2019,8718
13 May 2019,9227
14 May 2019,9674
15 May 2019,10108
16 May 2019,10585
17 May 2019,11224
18 May 2019,11760
19 May 2019,12448
20 May 2019,13191
21 May 2019,13967
22 May 2019,14753
23 May 2019,15512
24 May 2019,16277
25 May 2019,17082
26 May 2019,17728
27 May 2019,18545
28 May 2019,19372
29 May 2019,20246
30 May 2019,21184
31 May 2019,22333
01 June 2019,23495
02 June 2019,24586
03 June 2019,25872
04 June 2019,27256
05 June 2019,28694
06 June 2019,30152
07 June 2019,31667
08 June 2019,33229
09 June 2019,34914
10 June 2019,36841
11 June 2019,
12 June 2019,
13 June 2019,
14 June 2019,
15 June 2019,
16 June 2019,
17 June 2019,
18 June 2019,
19 June 2019,
20 June 2019,
21 June 2019,
22 June 2019,
